#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2018 01 08 02 50  84  5.9  7.2  1.40 10.00  7.39 254 1016.7  11.8  13.1 999.0 99.0 99.00
2018 01 08 03 50  89  5.1  6.4  1.39  9.09  7.12 275 1016.7  11.6  13.1 999.0 99.0 99.00
2018 01 08 04 50  83  5.0  6.1  1.38 10.00  6.94 247 1016.5  11.8  13.1 999.0 99.0 99.00
2018 01 08 05 50  91  6.2  7.6  1.29 10.00  7.18 250 1015.8  11.6  13.0 999.0 99.0 99.00
2018 01 08 06 50  99  7.6  8.8  1.24 10.00  6.88 254 1015.3  11.7  13.1 999.0 99.0 99.00
2018 01 08 07 50  91  5.9  6.9  1.31 10.00  7.15 226 1015.0  11.8  13.1 999.0 99.0 99.00
2018 01 08 08 50 101  6.0  7.2  1.32 10.00  7.26 264 1014.7  11.6  13.1 999.0 99.0 99.00
2018 01 08 09 50  83  6.9  8.3  1.20  9.09  6.52 246 1013.9  11.4  13.2 999.0 99.0 99.00
2018 01 08 10 50  90  6.4  7.4  1.13  9.09  6.08 236 1013.1  11.4  13.2 999.0 99.0 99.00
2018 01 08 11 50 102  8.0  9.4  1.25  9.09  6.83 247 1012.1  11.1  13.2 999.0 99.0 99.00
2018 01 08 12 50 117  7.7  9.3  1.26  9.09  6.32 240 1011.4  10.7  13.2 999.0 99.0 99.00
2018 01 08 13 50 124  8.4  9.9  1.22 10.00  6.43 256 1011.1  10.8  13.2 999.0 99.0 99.00
2018 01 08 14 50 106  6.0  7.0  1.25 17.39  6.41 286 1011.0  11.0  13.2 999.0 99.0 99.00
2018 01 08 15 50 107  7.4  8.7  1.25 10.81  5.73 280 1010.2  11.3  13.2 999.0 99.0 99.00
2018 01 08 16 50 102  7.1  8.2  1.23 17.39  5.76 283 1009.9  11.3  13.2 999.0 99.0 99.00
2018 01 08 17 50 106  6.8  8.0  1.40 17.39  5.40 272 1009.6  11.8  13.2 999.0 99.0 99.00
2018 01 08 18 50 104  6.2  7.2  1.55  9.09  5.33 243 1009.1  11.9  13.3 999.0 99.0 99.00
2018 01 08 19 50 149  9.6 11.1  1.51 17.39  5.33 204 1007.9  13.0  13.3 999.0 99.0 99.00
2018 01 08 20 50 160  9.5 11.6  1.61 17.39  5.09 241 1006.7  13.0  13.3 999.0 99.0 99.00
2018 01 08 21 50 160  8.8 10.3  1.71 17.39  5.20 256 1005.9  13.2  13.3 999.0 99.0 99.00
2018 01 08 22 50 151  8.7 10.2  1.66  8.33  5.03 243 1005.3  13.5  13.3 999.0 99.0 99.00
2018 01 08 23 50 149  8.8 10.5  1.79 16.00  5.56 258 1004.8  13.5  13.4 999.0 99.0 99.00
2018 01 09 00 50 151  9.6 11.2  1.82 16.00  5.46 269 1004.2  13.5  13.4 999.0 99.0 99.00
2018 01 09 01 50 151  9.1 10.8  1.96 16.00  5.61 260 1003.7  13.5  13.4 999.0 99.0 99.00
2018 01 09 02 50 155  7.9  9.3  1.96  6.25  5.62 202 1003.1  13.4  13.4 999.0 99.0 99.00
2018 01 09 03 50 153  8.7 10.7  2.05 16.00  5.84 305 1002.5  13.6  13.4 999.0 99.0 99.00
2018 01 09 04 50 142 10.3 12.9  1.98  6.67  5.59 213 1001.9  14.0  13.4 999.0 99.0 99.00
2018 01 09 05 50 144 11.0 14.0  2.02 16.00  5.71 286 1001.6  14.4  13.4 999.0 99.0 99.00
2018 01 09 06 50 165 10.1 12.9  2.07 16.00  5.72 238 1001.8  14.0  13.4 999.0 99.0 99.00
2018 01 09 07 50 172  5.7  7.6  2.36  6.67  5.88 192 1001.7  13.7  13.4 999.0 99.0 99.00
2018 01 09 08 50 154  6.1  7.7  2.57  7.69  6.63 204 1001.0  14.1  13.4 999.0 99.0 99.00
2018 01 09 09 50 179  4.9  6.2  2.31 14.81  6.46 270 1000.5  14.1  13.4 999.0 99.0 99.00
2018 01 09 10 50  76  3.0  5.0  2.24  6.67  6.21 177 1000.8  13.6  13.4 999.0 99.0 99.00
2018 01 09 11 50 358  3.3  4.7  2.24  7.69  6.76 180 1000.7  13.5  13.4 999.0 99.0 99.00
2018 01 09 12 50 303  5.4  7.1  2.24 14.81  7.17 286 1000.8  13.0  13.4 999.0 99.0 99.00
2018 01 09 13 50 323 10.2 12.4  2.32 14.81  7.13 292 1001.1  12.7  13.4 999.0 99.0 99.00
2018 01 09 14 50 321 13.3 16.2  2.26 14.81  6.19 298 1001.3  12.4  13.4 999.0 99.0 99.00
2018 01 09 15 50 323 12.5 15.0  2.60 14.81  6.36 243 1002.1  12.3  13.4 999.0 99.0 99.00
2018 01 09 16 50 321 12.0 15.0  2.89  7.69  6.43 258 1003.2  12.5  13.4 999.0 99.0 99.00
2018 01 09 17 50 322 11.4 13.7  3.03  7.69  6.76 273 1004.3  12.8  13.3 999.0 99.0 99.00
2018 01 09 18 50 316 12.0 14.8  3.28  9.09  7.22 266 1004.8  12.8  13.3 999.0 99.0 99.00
2018 01 09 19 50 314 12.8 16.6  3.34  9.09  6.82 266 1005.2  12.8  13.3 999.0 99.0 99.00
2018 01 09 20 50 316 13.6 16.3  3.31 10.81  7.15 260 1005.4  12.5  13.4 999.0 99.0 99.00
2018 01 09 21 50 311 13.9 17.3  4.06 10.00  7.32 277 1006.1  12.5  13.4 999.0 99.0 99.00
2018 01 09 22 50 314 13.8 17.6  3.94 10.81  7.38 272 1006.6  12.6  13.4 999.0 99.0 99.00
2018 01 09 23 50 312 14.0 17.4  4.24 11.43  7.76 284 1007.5  12.5  13.4 999.0 99.0 99.00
2018 01 10 00 50 312 15.8 19.6  4.56 10.81  7.81 290 1008.7  12.4  13.3 999.0 99.0 99.00
2018 01 10 01 50 315 14.2 18.3  4.54 10.81  7.79 287 1009.7  12.4  13.3 999.0 99.0 99.00
2018 01 10 02 50 311 15.6 19.1  4.68 10.81  8.09 279 1010.4  12.4  13.2 999.0 99.0 99.00
2018 01 10 03 50 312 14.8 18.0  4.71 11.43  8.03 274 1011.1  12.3  13.2 999.0 99.0 99.00
2018 01 10 04 50 312 13.8 16.8  4.45 11.43  7.93 275 1012.1  12.2  13.1 999.0 99.0 99.00
2018 01 10 05 50 310 13.6 17.3  4.28 11.43  7.74 280 1013.5  12.3  13.1 999.0 99.0 99.00
2018 01 10 06 50 311 14.4 17.1  4.28 10.81  7.76 285 1014.3  12.1  13.0 999.0 99.0 99.00
